A,B,row,col,re,im
0,1,0,0,0.0,0.5
0,1,1,1,0.0,-0.5
0,1,2,2,0.0,-0.5
0,1,3,3,0.0,0.5
0,1,4,4,0.0,-0.5
0,1,5,5,0.0,0.5
0,1,6,6,0.0,0.5
0,1,7,7,0.0,-0.5
0,1,8,8,0.0,-0.5
0,1,9,9,0.0,0.5
0,1,10,10,0.0,0.5
0,1,11,11,0.0,-0.5
0,1,12,12,0.0,0.5
0,1,13,13,0.0,-0.5
0,1,14,14,0.0,-0.5
0,1,15,15,0.0,0.5
0,1,16,16,0.0,-0.5
0,1,17,17,0.0,0.5
0,1,18,18,0.0,0.5
0,1,19,19,0.0,-0.5
0,1,20,20,0.0,0.5
0,1,21,21,0.0,-0.5
0,1,22,22,0.0,-0.5
0,1,23,23,0.0,0.5
0,1,24,24,0.0,0.5
0,1,25,25,0.0,-0.5
0,1,26,26,0.0,-0.5
0,1,27,27,0.0,0.5
0,1,28,28,0.0,-0.5
0,1,29,29,0.0,0.5
0,1,30,30,0.0,0.5
0,1,31,31,0.0,-0.5
0,1,32,32,0.0,-0.5
0,1,33,33,0.0,0.5
0,1,34,34,0.0,0.5
0,1,35,35,0.0,-0.5
0,1,36,36,0.0,0.5
0,1,37,37,0.0,-0.5
0,1,38,38,0.0,-0.5
0,1,39,39,0.0,0.5
0,1,40,40,0.0,0.5
0,1,41,41,0.0,-0.5
0,1,42,42,0.0,-0.5
0,1,43,43,0.0,0.5
0,1,44,44,0.0,-0.5
0,1,45,45,0.0,0.5
0,1,46,46,0.0,0.5
0,1,47,47,0.0,-0.5
0,1,48,48,0.0,0.5
0,1,49,49,0.0,-0.5
0,1,50,50,0.0,-0.5
0,1,51,51,0.0,0.5
0,1,52,52,0.0,-0.5
0,1,53,53,0.0,0.5
0,1,54,54,0.0,0.5
0,1,55,55,0.0,-0.5
0,1,56,56,0.0,-0.5
0,1,57,57,0.0,0.5
0,1,58,58,0.0,0.5
0,1,59,59,0.0,-0.5
0,1,60,60,0.0,0.5
0,1,61,61,0.0,-0.5
0,1,62,62,0.0,-0.5
0,1,63,63,0.0,0.5
0,1,64,64,0.0,-0.5
0,1,65,65,0.0,0.5
0,1,66,66,0.0,0.5
0,1,67,67,0.0,-0.5
0,1,68,68,0.0,0.5
0,1,69,69,0.0,-0.5
0,1,70,70,0.0,-0.5
0,1,71,71,0.0,0.5
0,1,72,72,0.0,0.5
0,1,73,73,0.0,-0.5
0,1,74,74,0.0,-0.5
0,1,75,75,0.0,0.5
0,1,76,76,0.0,-0.5
0,1,77,77,0.0,0.5
0,1,78,78,0.0,0.5
0,1,79,79,0.0,-0.5
0,1,80,80,0.0,0.5
0,1,81,81,0.0,-0.5
0,1,82,82,0.0,-0.5
0,1,83,83,0.0,0.5
0,1,84,84,0.0,-0.5
0,1,85,85,0.0,0.5
0,1,86,86,0.0,0.5
0,1,87,87,0.0,-0.5
0,1,88,88,0.0,-0.5
0,1,89,89,0.0,0.5
0,1,90,90,0.0,0.5
0,1,91,91,0.0,-0.5
0,1,92,92,0.0,0.5
0,1,93,93,0.0,-0.5
0,1,94,94,0.0,-0.5
0,1,95,95,0.0,0.5
0,1,96,96,0.0,0.5
0,1,97,97,0.0,-0.5
0,1,98,98,0.0,-0.5
0,1,99,99,0.0,0.5
0,1,100,100,0.0,-0.5
0,1,101,101,0.0,0.5
0,1,102,102,0.0,0.5
0,1,103,103,0.0,-0.5
0,1,104,104,0.0,-0.5
0,1,105,105,0.0,0.5
0,1,106,106,0.0,0.5
0,1,107,107,0.0,-0.5
0,1,108,108,0.0,0.5
0,1,109,109,0.0,-0.5
0,1,110,110,0.0,-0.5
0,1,111,111,0.0,0.5
0,1,112,112,0.0,-0.5
0,1,113,113,0.0,0.5
0,1,114,114,0.0,0.5
0,1,115,115,0.0,-0.5
0,1,116,116,0.0,0.5
0,1,117,117,0.0,-0.5
0,1,118,118,0.0,-0.5
0,1,119,119,0.0,0.5
0,1,120,120,0.0,0.5
0,1,121,121,0.0,-0.5
0,1,122,122,0.0,-0.5
0,1,123,123,0.0,0.5
0,1,124,124,0.0,-0.5
0,1,125,125,0.0,0.5
0,1,126,126,0.0,0.5
0,1,127,127,0.0,-0.5
0,2,0,64,-0.5,0.0
0,2,1,3,0.5,0.0
0,2,2,5,0.5,0.0
0,2,3,1,-0.5,0.0
0,2,4,9,0.5,0.0
0,2,5,2,-0.5,0.0
0,2,6,97,-0.5,0.0
0,2,7,15,0.5,0.0
0,2,8,17,0.5,0.0
0,2,9,4,-0.5,0.0
0,2,10,98,-0.5,0.0
0,2,11,23,0.5,0.0
0,2,12,81,-0.5,0.0
0,2,13,27,0.5,0.0
0,2,14,29,0.5,0.0
0,2,15,7,-0.5,0.0
0,2,16,33,0.5,0.0
0,2,17,8,-0.5,0.0
0,2,18,100,-0.5,0.0
0,2,19,39,0.5,0.0
0,2,20,82,-0.5,0.0
0,2,21,43,0.5,0.0
0,2,22,45,0.5,0.0
0,2,23,11,-0.5,0.0
0,2,24,73,-0.5,0.0
0,2,25,51,0.5,0.0
0,2,26,53,0.5,0.0
0,2,27,13,-0.5,0.0
0,2,28,57,0.5,0.0
0,2,29,14,-0.5,0.0
0,2,30,103,-0.5,0.0
0,2,31,63,0.5,0.0
0,2,32,65,0.5,0.0
0,2,33,16,-0.5,0.0
0,2,34,104,-0.5,0.0
0,2,35,71,0.5,0.0
0,2,36,84,-0.5,0.0
0,2,37,75,0.5,0.0
0,2,38,77,0.5,0.0
0,2,39,19,-0.5,0.0
0,2,40,74,-0.5,0.0
0,2,41,83,0.5,0.0
0,2,42,85,0.5,0.0
0,2,43,21,-0.5,0.0
0,2,44,89,0.5,0.0
0,2,45,22,-0.5,0.0
0,2,46,107,-0.5,0.0
0,2,47,95,0.5,0.0
0,2,48,69,-0.5,0.0
0,2,49,99,0.5,0.0
0,2,50,101,0.5,0.0
0,2,51,25,-0.5,0.0
0,2,52,105,0.5,0.0
0,2,53,26,-0.5,0.0
0,2,54,109,-0.5,0.0
0,2,55,111,0.5,0.0
0,2,56,113,0.5,0.0
0,2,57,28,-0.5,0.0
0,2,58,110,-0.5,0.0
0,2,59,119,0.5,0.0
0,2,60,87,-0.5,0.0
0,2,61,123,0.5,0.0
0,2,62,125,0.5,0.0
0,2,63,31,-0.5,0.0
0,2,64,0,0.5,0.0
0,2,65,32,-0.5,0.0
0,2,66,112,-0.5,0.0
0,2,67,96,0.5,0.0
0,2,68,88,-0.5,0.0
0,2,69,48,0.5,0.0
0,2,70,80,0.5,0.0
0,2,71,35,-0.5,0.0
0,2,72,76,-0.5,0.0
0,2,73,24,0.5,0.0
0,2,74,40,0.5,0.0
0,2,75,37,-0.5,0.0
0,2,76,72,0.5,0.0
0,2,77,38,-0.5,0.0
0,2,78,115,-0.5,0.0
0,2,79,120,0.5,0.0
0,2,80,70,-0.5,0.0
0,2,81,12,0.5,0.0
0,2,82,20,0.5,0.0
0,2,83,41,-0.5,0.0
0,2,84,36,0.5,0.0
0,2,85,42,-0.5,0.0
0,2,86,117,-0.5,0.0
0,2,87,60,0.5,0.0
0,2,88,68,0.5,0.0
0,2,89,44,-0.5,0.0
0,2,90,118,-0.5,0.0
0,2,91,92,0.5,0.0
0,2,92,91,-0.5,0.0
0,2,93,108,0.5,0.0
0,2,94,116,0.5,0.0
0,2,95,47,-0.5,0.0
0,2,96,67,-0.5,0.0
0,2,97,6,0.5,0.0
0,2,98,10,0.5,0.0
0,2,99,49,-0.5,0.0
0,2,100,18,0.5,0.0
0,2,101,50,-0.5,0.0
0,2,102,121,-0.5,0.0
0,2,103,30,0.5,0.0
0,2,104,34,0.5,0.0
0,2,105,52,-0.5,0.0
0,2,106,122,-0.5,0.0
0,2,107,46,0.5,0.0
0,2,108,93,-0.5,0.0
0,2,109,54,0.5,0.0
0,2,110,58,0.5,0.0
0,2,111,55,-0.5,0.0
0,2,112,66,0.5,0.0
0,2,113,56,-0.5,0.0
0,2,114,124,-0.5,0.0
0,2,115,78,0.5,0.0
0,2,116,94,-0.5,0.0
0,2,117,86,0.5,0.0
0,2,118,90,0.5,0.0
0,2,119,59,-0.5,0.0
0,2,120,79,-0.5,0.0
0,2,121,102,0.5,0.0
0,2,122,106,0.5,0.0
0,2,123,61,-0.5,0.0
0,2,124,114,0.5,0.0
0,2,125,62,-0.5,0.0
0,2,126,127,-0.5,0.0
