k,diag_k
0,-4.44089209850062616e-16
1,-5.55111512312578270e-16
2,-5.55111512312578270e-16
3,-5.55111512312578270e-16
4,-5.55111512312578270e-16
5,1.00000000000000000e+00
6,1.00000000000000000e+00
7,1.00000000000000000e+00
8,1.00000000000000000e+00
9,1.00000000000000000e+00
10,1.00000000000000000e+00
11,1.00000000000000000e+00
12,1.00000000000000000e+00
13,-5.55111512312578270e-16
14,-5.55111512312578270e-16
15,-5.55111512312578270e-16
16,-5.55111512312578270e-16
17,1.00000000000000000e+00
18,1.00000000000000000e+00
19,1.00000000000000000e+00
20,1.00000000000000000e+00
21,1.00000000000000000e+00
22,1.00000000000000000e+00
23,1.00000000000000000e+00
24,1.00000000000000000e+00
25,-4.44089209850062616e-16
26,-5.55111512312578270e-16
27,-5.55111512312578270e-16
28,1.00000000000000000e+00
29,1.00000000000000000e+00
30,1.00000000000000000e+00
31,1.00000000000000000e+00
32,1.00000000000000000e+00
33,1.00000000000000000e+00
34,1.00000000000000000e+00
35,1.00000000000000000e+00
36,-5.55111512312578270e-16
37,-5.55111512312578270e-16
38,1.00000000000000000e+00
39,1.00000000000000000e+00
40,1.00000000000000000e+00
41,1.00000000000000000e+00
42,1.00000000000000000e+00
43,1.00000000000000000e+00
44,1.00000000000000000e+00
45,1.00000000000000000e+00
46,-4.44089209850062616e-16
47,1.00000000000000000e+00
48,1.00000000000000000e+00
49,1.00000000000000000e+00
50,1.00000000000000000e+00
51,1.00000000000000000e+00
52,1.00000000000000000e+00
53,1.00000000000000000e+00
54,1.00000000000000000e+00
55,1.00000000000000000e+00
56,1.00000000000000000e+00
57,1.00000000000000000e+00
58,1.00000000000000000e+00
59,1.00000000000000000e+00
60,1.00000000000000000e+00
61,1.00000000000000000e+00
62,1.00000000000000000e+00
63,-4.44089209850062616e-16
64,-4.44089209850062616e-16
65,-4.44089209850062616e-16
66,-4.44089209850062616e-16
67,-4.44089209850062616e-16
68,-4.44089209850062616e-16
69,-4.44089209850062616e-16
70,-4.44089209850062616e-16
71,-4.44089209850062616e-16
72,-4.44089209850062616e-16
73,-4.44089209850062616e-16
74,-4.44089209850062616e-16
75,-4.44089209850062616e-16
76,-4.44089209850062616e-16
77,-4.44089209850062616e-16
78,-4.44089209850062616e-16
79,-4.44089209850062616e-16
80,-4.44089209850062616e-16
81,-4.44089209850062616e-16
82,-4.44089209850062616e-16
83,-4.44089209850062616e-16
84,-4.44089209850062616e-16
85,-4.44089209850062616e-16
86,-4.44089209850062616e-16
87,-4.44089209850062616e-16
88,-4.44089209850062616e-16
89,-4.44089209850062616e-16
90,-4.44089209850062616e-16
91,-5.55111512312578270e-16
92,-5.55111512312578270e-16
93,-5.55111512312578270e-16
94,-5.55111512312578270e-16
95,1.00000000000000000e+00
96,1.00000000000000000e+00
97,1.00000000000000000e+00
98,1.00000000000000000e+00
99,1.00000000000000000e+00
