a,b,re,im
0,127,0.08838834764831845,0.0
1,125,-0.0883883476483184,0.0
2,123,0.08838834764831846,0.0
3,62,0.08838834764831845,0.0
4,119,-0.08838834764831846,0.0
5,61,-0.08838834764831846,0.0
6,94,-0.0883883476483184,0.0
7,113,0.08838834764831846,0.0
8,111,0.08838834764831843,0.0
9,59,0.08838834764831849,0.0
10,93,0.08838834764831843,0.0
11,105,-0.08838834764831845,0.0
12,110,0.08838834764831846,0.0
13,101,0.08838834764831845,0.0
14,99,-0.08838834764831845,0.0
15,56,-0.08838834764831847,0.0
16,95,-0.08838834764831845,0.0
17,55,-0.08838834764831846,0.0
18,91,-0.08838834764831845,0.0
19,89,0.08838834764831845,0.0
20,109,-0.08838834764831845,0.0
21,85,-0.08838834764831846,0.0
22,83,0.08838834764831846,0.0
23,52,0.08838834764831845,0.0
24,118,-0.08838834764831845,0.0
25,77,0.08838834764831843,0.0
26,75,-0.08838834764831843,0.0
27,50,-0.08838834764831846,0.0
28,71,0.08838834764831846,0.0
29,49,0.08838834764831846,0.0
30,88,0.08838834764831846,0.0
31,65,-0.08838834764831846,0.0
32,63,0.08838834764831843,0.0
33,47,0.08838834764831846,0.0
34,87,0.08838834764831845,0.0
35,57,-0.08838834764831842,0.0
36,107,0.08838834764831847,0.0
37,53,0.08838834764831846,0.0
38,51,-0.08838834764831846,0.0
39,44,-0.08838834764831845,0.0
40,117,0.08838834764831843,0.0
41,45,-0.08838834764831845,0.0
42,43,0.08838834764831843,0.0
43,42,0.08838834764831845,0.0
44,39,-0.08838834764831845,0.0
45,41,-0.08838834764831846,0.0
46,84,-0.08838834764831845,0.0
47,33,0.08838834764831845,0.0
48,122,0.08838834764831845,0.0
49,29,0.08838834764831845,0.0
50,27,-0.08838834764831843,0.0
51,38,-0.08838834764831845,0.0
52,23,0.08838834764831846,0.0
53,37,0.08838834764831846,0.0
54,82,0.08838834764831842,0.0
55,17,-0.08838834764831845,0.0
56,15,-0.08838834764831846,0.0
57,35,-0.08838834764831846,0.0
58,81,-0.08838834764831845,0.0
59,9,0.08838834764831843,0.0
60,104,-0.08838834764831843,0.0
61,5,-0.08838834764831842,0.0
62,3,0.08838834764831847,0.0
63,32,0.08838834764831846,0.0
64,126,-0.08838834764831846,0.0
65,31,-0.08838834764831842,0.0
66,79,-0.08838834764831842,0.0
67,114,0.08838834764831843,0.0
68,103,-0.08838834764831845,0.0
69,106,-0.08838834764831847,0.0
70,102,0.08838834764831846,0.0
71,28,0.08838834764831842,0.0
72,115,-0.08838834764831845,0.0
73,90,0.08838834764831846,0.0
74,86,-0.08838834764831843,0.0
75,26,-0.08838834764831845,0.0
76,78,0.08838834764831849,0.0
77,25,0.08838834764831846,0.0
78,76,0.08838834764831843,0.0
79,66,-0.08838834764831846,0.0
80,121,-0.08838834764831846,0.0
81,58,-0.08838834764831846,0.0
82,54,0.08838834764831846,0.0
83,22,0.08838834764831845,0.0
84,46,-0.08838834764831845,0.0
85,21,-0.08838834764831846,0.0
86,74,-0.08838834764831842,0.0
87,34,0.08838834764831846,0.0
88,30,0.08838834764831845,0.0
89,19,0.08838834764831845,0.0
90,73,0.08838834764831846,0.0
91,18,-0.08838834764831843,0.0
92,100,0.08838834764831842,0.0
93,10,0.08838834764831845,0.0
94,6,-0.08838834764831846,0.0
95,16,-0.08838834764831847,0.0
96,124,-0.08838834764831843,0.0
97,116,0.08838834764831845,0.0
98,108,-0.08838834764831845,0.0
99,14,-0.08838834764831842,0.0
100,92,0.08838834764831846,0.0
101,13,0.08838834764831846,0.0
102,70,0.08838834764831845,0.0
103,68,-0.08838834764831846,0.0
104,60,-0.08838834764831846,0.0
105,11,-0.08838834764831846,0.0
106,69,-0.08838834764831845,0.0
107,36,0.08838834764831845,0.0
108,98,-0.08838834764831845,0.0
109,20,-0.08838834764831846,0.0
110,12,0.08838834764831847,0.0
111,8,0.08838834764831846,0.0
112,120,0.08838834764831843,0.0
113,7,0.08838834764831845,0.0
114,67,0.08838834764831846,0.0
115,72,-0.08838834764831846,0.0
116,97,0.08838834764831847,0.0
117,40,0.08838834764831845,0.0
118,24,-0.08838834764831845,0.0
119,4,-0.08838834764831843,0.0
120,112,0.08838834764831843,0.0
121,80,-0.08838834764831843,0.0
122,48,0.08838834764831846,0.0
123,2,0.08838834764831845,0.0
124,96,-0.08838834764831845,0.0
125,1,-0.08838834764831846,0.0
126,64,-0.08838834764831845,0.0
127,0,0.08838834764831847,0.0
